lib,version,shape,size,autoScheduling,ttr,ttfp,memory,fps,fpsMin,move,bulk,samples,note,harness,session,measured_at
"kendo","2026.3.811","flat","100000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","1000","false","433","293","27","60","60","644","282503","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","1000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","5000","false","1869","1655","40","60","60","10023","","","DNF (bulk)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","5000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","10000","false","5105","4794","57","36","36","37395","","","skipped — bulk failed at 5000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","10000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","50000","false","89211","87758","190","8","7","","","","DNF (move)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","50000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","100000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","tree","100000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"syncfusion","34.2.8","flat","1000","false","302","302","21","60","61","71","3454","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","1000","true","324","324","21","60","60","262","12525","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","5000","false","806","806","43","60","61","302","8294","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","5000","true","855","855","44","60","61","","","","error: page.evaluate: RangeError: Maximum call stack size exceeded","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","10000","false","1861","1861","71","60","60","1409","14558","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","10000","true","1832","1832","72","60","60","","","","skipped — move failed at 5000","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","50000","false","38420","38420","293","60","60","41570","92003","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","50000","true","30971","30971","300","60","60","","","","skipped — move failed at 5000","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","100000","false","162114","162114","571","60","60","194911","225456","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","flat","100000","true","132552","132552","584","60","61","","","","skipped — move failed at 5000","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","1000","false","352","352","23","60","61","72","3591","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","1000","true","353","353","23","60","61","186","4509","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","5000","false","943","943","52","60","60","292","6328","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","5000","true","969","969","53","60","60","428","8496","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","10000","false","2611","2611","89","60","60","1412","10419","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","10000","true","2193","2193","91","60","60","1616","14658","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","50000","false","48298","48298","386","60","61","42525","69282","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","50000","true","29870","29870","392","60","61","44686","97025","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","100000","false","200003","200003","755","60","60","194086","165348","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"syncfusion","34.2.8","tree","100000","true","121066","121066","768","60","60","207975","256211","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"

session,started,browser,os,cpu,cores,ram_gb,refresh_hz,headless,sleep_inhibited,sleep_inhibitor,runs_per_cell,dataset_years,timeout_s
"20260915-191259","2026-09-15T16:12:59.696Z","Chromium 151.0.7922.34","win64 11.26200.9168","11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz","16","32","60","false","false","none — set manually on Windows","3","2","300"
